generazione,dna
1,"[6, 32, 3, 192]"
1,"[10, 27, 3, 270]"
1,"[5, 27, 4, 135]"
1,"[8, 18, 3, 144]"
1,"[4, 9, 2, 36]"
1,"[10, 32, 4, 320]"
1,"[4, 26, 2, 104]"
1,"[8, 25, 5, 200]"
1,"[6, 18, 4, 108]"
1,"[4, 30, 3, 120]"
1,"[9, 18, 5, 162]"
1,"[2, 23, 2, 46]"
1,"[2, 29, 3, 58]"
1,"[7, 17, 3, 119]"
1,"[2, 24, 3, 48]"
1,"[2, 21, 3, 42]"
1,"[6, 15, 2, 90]"
1,"[10, 22, 3, 220]"
1,"[8, 20, 4, 160]"
1,"[5, 18, 5, 90]"
2,"[10, 32, 5, 320]"
2,"[8, 32, 4, 256]"
2,"[10, 27, 4, 270]"
2,"[5, 27, 4, 135]"
2,"[7, 17, 3, 119]"
2,"[10, 24, 3, 240]"
2,"[6, 29, 3, 174]"
2,"[5, 30, 3, 150]"
2,"[3, 32, 3, 96]"
2,"[6, 32, 3, 192]"
2,"[6, 15, 2, 90]"
2,"[8, 22, 3, 176]"
2,"[5, 27, 4, 135]"
2,"[4, 32, 3, 128]"
2,"[10, 27, 2, 270]"
2,"[2, 29, 3, 58]"
2,"[7, 27, 4, 189]"
2,"[6, 15, 2, 90]"
2,"[5, 27, 5, 135]"
2,"[2, 24, 3, 48]"
3,"[10, 32, 5, 320]"
3,"[8, 32, 4, 256]"
3,"[10, 27, 4, 270]"
3,"[5, 27, 4, 135]"
3,"[7, 17, 3, 119]"
3,"[10, 24, 3, 240]"
3,"[6, 29, 5, 174]"
3,"[5, 30, 3, 150]"
3,"[3, 32, 3, 96]"
3,"[6, 22, 3, 132]"
3,"[6, 15, 2, 90]"
3,"[8, 22, 3, 176]"
3,"[5, 27, 4, 135]"
3,"[4, 32, 3, 128]"
3,"[10, 27, 2, 270]"
3,"[5, 29, 3, 145]"
3,"[7, 27, 4, 189]"
3,"[6, 15, 2, 90]"
3,"[5, 27, 5, 135]"
3,"[2, 24, 3, 48]"
4,"[6, 22, 2, 132]"
4,"[4, 22, 3, 88]"
4,"[8, 32, 3, 256]"
4,"[6, 15, 3, 90]"
4,"[5, 27, 5, 135]"
4,"[5, 32, 3, 160]"
4,"[6, 22, 3, 132]"
4,"[6, 9, 3, 54]"
4,"[5, 29, 3, 145]"
4,"[3, 32, 4, 96]"
4,"[8, 32, 4, 256]"
4,"[8, 22, 4, 176]"
4,"[6, 22, 3, 132]"
4,"[8, 22, 3, 176]"
4,"[6, 29, 5, 174]"
4,"[5, 29, 3, 145]"
4,"[8, 22, 3, 176]"
4,"[6, 26, 5, 156]"
4,"[6, 22, 2, 132]"
4,"[5, 15, 2, 75]"
5,"[2, 22, 2, 44]"
5,"[4, 22, 3, 88]"
5,"[8, 28, 3, 224]"
5,"[6, 15, 3, 90]"
5,"[5, 27, 5, 135]"
5,"[5, 32, 3, 160]"
5,"[6, 22, 3, 132]"
5,"[6, 9, 3, 54]"
5,"[5, 16, 3, 80]"
5,"[3, 32, 4, 96]"
5,"[8, 32, 4, 256]"
5,"[8, 22, 4, 176]"
5,"[6, 22, 3, 132]"
5,"[8, 31, 3, 248]"
5,"[6, 29, 5, 174]"
5,"[5, 29, 3, 145]"
5,"[8, 22, 3, 176]"
5,"[6, 26, 5, 156]"
5,"[6, 22, 2, 132]"
5,"[5, 15, 2, 75]"
