generazione,dna
1,"[5, 8, 1, 293]"
1,"[8, 26, 2, 132]"
1,"[10, 14, 3, 130]"
1,"[7, 23, 3, 83]"
1,"[6, 21, 1, 316]"
1,"[3, 30, 1, 280]"
1,"[5, 21, 3, 64]"
1,"[8, 18, 5, 230]"
1,"[3, 13, 4, 231]"
1,"[3, 19, 2, 265]"
1,"[7, 14, 2, 73]"
1,"[9, 8, 5, 64]"
1,"[7, 21, 3, 86]"
1,"[6, 12, 3, 107]"
1,"[9, 31, 4, 231]"
1,"[7, 25, 2, 183]"
1,"[8, 20, 2, 102]"
1,"[10, 30, 1, 176]"
1,"[4, 10, 1, 154]"
1,"[3, 29, 2, 72]"
2,"[7, 23, 1, 154]"
2,"[3, 21, 3, 64]"
2,"[3, 24, 2, 265]"
2,"[5, 12, 3, 107]"
2,"[10, 14, 3, 86]"
2,"[7, 21, 2, 316]"
2,"[8, 29, 2, 72]"
2,"[8, 21, 3, 64]"
2,"[8, 10, 1, 154]"
2,"[3, 30, 1, 64]"
2,"[7, 23, 3, 83]"
2,"[6, 21, 2, 72]"
2,"[10, 19, 2, 265]"
2,"[6, 23, 3, 83]"
2,"[8, 26, 2, 183]"
2,"[10, 14, 2, 72]"
2,"[3, 19, 2, 72]"
2,"[7, 25, 2, 73]"
2,"[9, 14, 3, 316]"
2,"[10, 30, 1, 274]"
3,"[10, 30, 1, 154]"
3,"[3, 24, 2, 316]"
3,"[6, 23, 2, 265]"
3,"[6, 24, 2, 265]"
3,"[7, 23, 3, 64]"
3,"[7, 30, 1, 64]"
3,"[7, 24, 2, 265]"
3,"[9, 14, 3, 64]"
3,"[3, 19, 2, 73]"
3,"[7, 21, 3, 64]"
3,"[10, 26, 2, 183]"
3,"[8, 24, 2, 265]"
3,"[6, 21, 3, 316]"
3,"[10, 30, 1, 316]"
3,"[7, 23, 1, 316]"
3,"[9, 14, 3, 316]"
3,"[8, 10, 1, 154]"
3,"[8, 26, 2, 154]"
3,"[3, 19, 2, 153]"
3,"[8, 19, 2, 232]"
4,"[7, 30, 1, 316]"
4,"[3, 30, 1, 64]"
4,"[10, 30, 1, 64]"
4,"[7, 30, 1, 64]"
4,"[3, 24, 2, 308]"
4,"[8, 30, 1, 64]"
4,"[7, 23, 3, 265]"
4,"[7, 24, 2, 316]"
4,"[6, 23, 2, 265]"
4,"[3, 19, 1, 64]"
4,"[7, 24, 2, 183]"
4,"[3, 24, 2, 153]"
4,"[8, 24, 2, 316]"
4,"[6, 19, 2, 265]"
4,"[8, 26, 2, 183]"
4,"[3, 19, 2, 153]"
4,"[10, 26, 2, 316]"
4,"[3, 30, 1, 64]"
4,"[10, 26, 2, 64]"
4,"[3, 24, 2, 153]"
5,"[3, 23, 2, 265]"
5,"[3, 19, 1, 64]"
5,"[10, 30, 1, 64]"
5,"[3, 19, 1, 64]"
5,"[10, 30, 2, 153]"
5,"[7, 30, 2, 64]"
5,"[7, 30, 2, 316]"
5,"[7, 30, 1, 316]"
5,"[3, 19, 1, 64]"
5,"[3, 19, 1, 64]"
5,"[3, 19, 2, 316]"
5,"[7, 24, 2, 265]"
5,"[3, 19, 1, 64]"
5,"[3, 19, 2, 284]"
5,"[7, 30, 1, 64]"
5,"[10, 30, 1, 64]"
5,"[10, 30, 1, 64]"
5,"[10, 21, 1, 316]"
5,"[7, 30, 1, 64]"
5,"[10, 26, 2, 153]"
